Symbol,Name,Sector
SIG,Signet Jewelers,Consumer Discretionary
SPG,Simon Property Group,Financials
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Financials
SJM,JM Smucker,Consumer Staples
SNA,Snap-On,Consumer Discretionary
SO,Southern Co,Utilities
LUV,Southwest Airlines,Industrials
SWN,Southwestern Energy,Energy
SE,Spectra Energy Corp,Energy
STJ,St Jude Medical,Health Care
SWK,Stanley Black & Decker,Consumer Discretionary
SPLS,"Staples, Inc",Consumer Discretionary
SPLS,Staples Inc,Consumer Discretionary
SBUX,Starbucks Corp,Consumer Discretionary
HOT,Starwood Hotels & Resorts,Consumer Discretionary
STT,State Street Corp,Financials
SRCL,Stericycle,Industrials
SYK,Stryker Corp,Health Care
STI,SunTrust Banks,Financials
SYMC,Symantec Corp,Information Technology
SYF,Synchrony Financial,Financials
SYY,Sysco Corp,Consumer Staples
TROW,T Rowe Price Group,Financials
TGT,Target Corp,Consumer Discretionary
TEL,TE Connectivity Ltd,Information Technology
TGNA,Tegna,Consumer Discretionary
TDC,Teradata Corp,Information Technology
TSO,Tesoro Petroleum,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
BK,The Bank of New York Mellon Corp,Financials
CLX,The Clorox Company,Consumer Staples
KO,The Coca Cola Company,Consumer Staples
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies,Financials
DIS,The Walt Disney Company,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co,Consumer Discretionary
TWX,Time Warner,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMK,Torchmark Corp,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,Industrials
RIG,Transocean,Energy
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TYC,Tyco International,Industrials
TSN,Tyson Foods,Consumer Staples
USB,US Bancorp,Financials
UDR,UDR,Financials
ULTA,Ulta Salon Cosmetics & Fragrance,Consumer Discretionary
UA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group,Health Care
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UTX,United Technologies,Industrials
UHS,Universal Health Services,Health Care
UNM,Unum Group,Financials
URBN,Urban Outfitters,Consumer Discretionary
V,Visa Inc,Information Technology
VFC,VF Corp,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas,Financials
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Telecommunications Services
VRTX,Vertex Pharmaceuticals,Health Care
VIAB,Viacom,Consumer Discretionary
VNO,Vornado Realty Trust,Financials
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WFC,Wells Fargo,Financials
HCN,Welltower,Financials
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,Westrock Co,Materials
WY,Weyerhaeuser Corp,Financials
WHR,Whirlpool Corp,Consumer Discretionary
WFM,Whole Foods Market,Consumer Staples
WMB,Williams Cos,Energy
WLTW,Willis Towers Watson,Financials
WEC,Wisconsin Energy Corporation,Utilities
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy,Utilities
XRX,Xerox Corp,Information Technology
XLNX,Xilinx,Information Technology
XL,XL Capital,Financials
XYL,Xylem,Industrials
YHOO,Yahoo,Information Technology
YUM,Yum! Brands,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
